,,Day,Start Time,End Time,Camp,Neighbourhood,Event Name,Description of Event,,Workshop / Class,Food / Drink,Performance / Show,Wellness / Yoga,Music / Dance,Game / Activity,19+
O0645,L0627,Thursday,10:00,22:00,Cinder-Fellas and the Playa Princesses,ROAMING,Cinder-Fellas and the Playa Princesses ,"We saw some Disney Princes and Princesses experiencing their first Otherworld! If you find them, stop to say hello, sing a song, dance, get your face painted, become a royal, play a game, or take a portrait! Help them learn about OW! ALL AGES!",Thursday 10:00 - 22:0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
,,Thursday,10:00,0:00,Welcome to Arcadia,YES...AND?,Nerdy and Naughty Stamps,"Come and get some temporary ink! We have designs for all ages, so come get a Nerdy picture or Naughty saying.",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0471,L0456,Thursday,11:00,14:00,Shaman Dome,YES...AND?,Shaman Dome Tent,"Healing space offering intuitive touch, massage, tarot, and guidance. A calm place to ground, connect, and be supported. Drop in as you feel called.",Thursday 11:00 - 14:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
O0487,L0472,Thursday,11:00,11:00,Sloplandia,SMOLDER,Cat Lenny in Space,"Meet Cat Lenny: cosmic traveller, dimensional beast, certified good boy. Climb aboard and transcend this earthly plane. Capture photographic evidence as you ride eternally through space and time.",Thursday 11:00 - 11:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0489,L0473,Thursday,11:00,11:00,Sloplandia,SMOLDER,Sloppy Foosball Free-For-All,Tiny men. Massive stakes. All chirps. No spins!,Thursday 11:00 - 11:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0629,L0613,Thursday,11:00,23:34,Everywhere I am is where the hugs will be. Look for the signs.,ROAMING,ROVING HUG DEALER,Healing Hugs that come with a prescription for a refill.,Thursday 11:00 - 23:34,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,,Thursday,11:00,11:00,Traveling Fairway Division of Sloplandia,,Bucket Golf or Bust,"See a guy in tie dye caddy coveralls? Congratulations, you’ve found wandering bucket golf. Attempt athletic greatness with deeply inadequate equipment in the least prestigious tournament in modern history.",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0315,L0305,Thursday,12:00,14:00,Luscious Lemon camp,DOACRACY,Lemonade stand happy hour!,"Your neighbourhood lemonade bar & lounge, serving up fabulously moist libations (boozy + non).",Thursday 12:00 - 14:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O0351,L0339,Thursday,12:00,02:00,Living Womb Rebirthing Lounge @ Motherworld,CONDENSATION,"Gestate, Lounge and Rebirth","Immerse yourself in a uterine universe. Embibe amniotic pink drinks, strap on your umbilical cord, rejuvenate. Choose your rebirth style off our menu and be reborn via our glorious vagina slide! And so much more!",Thursday 12:00 - 02:00,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
O0606,L0588,Thursday,12:00,16:00,The Low Bar,SCORCH,The Low Bar Happy Hour,"The one and only Low Bar pours open daily from 12–4. Spin the wheel, grab a drink, and enjoy the antics of our legendary bartenders.",Thursday 12:00 - 16:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O0593,L0575,Thursday,13:00,19:06,The Fafffway Village,SMOLDER,Indugle Your Census,"Thought- provoking questions, daily Oral Administration: form-filling excitement with paper & pencils. Results will be read aloud for the enjoyment of anyone who wishes to Indulge, and catalogued online with previous years’ questions & answers.",Thursday 13:00 - 19:06,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0594,L0576,Thursday,13:00,13:00,The Fafffway Village,SMOLDER,The Fafffway Village,"The Fafffway Village is a collection of camps providing service and entertainment to Otherworldians:Confession Concession, Indulge Your Census, Department Of Responsible Flailing (DORF), Pickle Fountain, Banana Ambassadors",Thursday 13:00 - 13:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0130,L0128,Thursday,14:00,17:00,CLuG,SANDSTORM,Moist Nitro Yerba Mate,Moist Nitro Yerba Mate: Come fill your MUGS with some moist offerings of Nitro Yerba Mate,Thursday 14:00 - 17:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O0206,L0202,Thursday,14:00,18:00,Fix-it Station, SPARK,Fix-it Station: Open for drop-ins,"The place to go to help you express yourself & decommodify by fixin yer shit. We’ve got a bunch of tools (sewing, grommets, rivets, glues, tapes, + more!) and supplies to help you repair your OW finery (or just come hang out and make!)",Thursday 14:00 - 18:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0321,L0311,Thursday,14:00,16:00,Mahjong Camp,PRECIPITATION,Mahjong Lounge Open,"Mahjong Lounge Open: Pull up a chair, shuffle the tiles, sip tea, and meet strangers who may become camp friends. Beginners welcome; lucky legends tolerated.",Thursday 14:00 - 16:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O0603,L0585,Thursday,14:00,15:00,The Low Bar,SCORCH,Samantha Fox Hour,Come and enjoy the music of the 1980s greatest pop star Samantha Fox. Samantha Fox trivia with prizes.,Thursday 14:00 - 15:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
O0207,L0203,Thursday,14:30,16:00,Fix-it Station, SPARK,Last Minute Fix-in Drop-in!,"oin us for some accounta-buddying/body doubling and chill crafting/making time at Fix-it, while we finish our own set-up. Avail yourself of our tools and supplies and company. Make a dent in, or even finish, your project/ UFO!",Thursday 14:30 - 16:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0256,L0247,Thursday,15:33,19:06,Reframing, SPARK,Treasure Box,Come Hither all ye children and inner children to the Inner Child Post Box to find the box of old treasures. There’s one for everyone but leave the rest for your mates. Yarrr. (Open 9am-2am - come by anytime),Thursday 15:33 - 19:06,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0356,L0344,Thursday,16:00,18:00,Picnic Party,SCORCH,Casino of Many Things,"Bring your best bartering items to the Casino, test your mind, body and spirit against the house, winner takes all! No item? No problem, tasks can build credit at the Casino. Come on by and try your luck!",Thursday 16:00 - 18:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0010,L0009,Thursday,16:00,17:30,Babylon,SIDEQUEST,Rope Workshop,"Gabriel (7 years exp) leads a fun shibari rope workshop. Focusing on connection, safety and consent, learn how to use the humble single column tie for spicy bedroom play. Solo or partnered, everyone is welcome! Bring rope or borrow ours (19+)",Thursday 16:00 - 17:30,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
O0208,L0204,Thursday,16:00,17:00,Fix-it Station, SPARK,Stamped Metal Tag,Come by and use our metal stamps to make yourself a small metal tag (similar to a dog tag). Materials provided for first 50 people; first come first serve. Child friendly with adult assistance.,Thursday 16:00 - 17:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
,,Thursday,16:00,17:00,Welcome to Arcadia,YES...AND?,Shocking Grasp,"Looking to bring a spark to your bedroom? A casual introduction to electrical play. Safety, equipment, and the do’s and don’ts. 19+",,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
O0332,L0322,Thursday,16:00,17:00,Moistly Helpful Help Desk,TINKER,Sewing Help,"Broke a strap, lost a button, ripped yer pants? Get help with mending, repairing, altering or fixing clothes/gear at the Moistly Helpful Help Desk from an experienced seamstress/crafter with an abundance of supplies.",Thursday 16:00 - 17:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0364,L0352,Thursday,16:00,16:05,Nauti Norse,SIDEQUEST,Hot slaps,Show up early. Get slapped. Do it hot.,Thursday 16:00 - 16:05,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
O0586,L0568,Thursday,16:00,00:00,The Empress,DOACRACY,Herbal Reflections,"An interactive herbal installation for self-guided plant meditation. Herbal inctures with plant cards and QR codes invite visitors to choose, taste, and tune inward to learn from each plant through reflection, writing, or drawing, shared or kept.",Thursday 16:00 - 00:00,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0616,L0598,Thursday,16:00,01:00,The Occult Library,YES...AND?,Dreamwork Pop-Ins,(Ongoing Offering) Have you ever had a dream that really stuck with you? Bring it to the Occult Library and we’ll help you make meaning of it using Jung’s framework of dream interpretation.,Thursday 16:00 - 01:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0209,L0205,Thursday,17:00,18:00,Fix-it Station, SPARK,DIY Pronoun Buttons,"Swing by to make a custom 1.25” pronoun button! We’ll have ze/zer, xe/xim, she/her, he/him, + they/them pre- printed pronouns (+ paper to make your own!). Add to a unique or shiny background, + voila! A pronoun pin as unique as you! Materials supplied",Thursday 17:00 - 18:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0516,L0500,Thursday,17:00,00:00,Sound Habitat,EVAPORATION,The Sound Habitat Grand Opening,We open the psychedelic nightclub! + D3VIANT Dance Party,Thursday 17:00 - 00:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
O0535,L0519,Thursday,17:00,18:00,Temple of Jeff,SMOLDER,Meeting of the Jeff’s,Is your name Jeff?ery Geoff? Jefferson? Meet all your namesakes and become reborn as Jeff.,Thursday 17:00 - 18:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0257,L0248,Thursday,17:55,23:50,Reframing, SPARK,Inner Child Post Box,"Inner Child Post Box: Saunter out of the Reframing Art Project filled with inspiration and carry forward to your inner child, a message from the future. We will mail your postcard to you in 9 months’ time (Open 9am- 2am - come by anytime)",Thursday 17:55 - 23:50,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0001,L0001,Thursday,18:00,03:00,Abrabrabra,YES...AND?,Come play mini golf,"Immerse yourself in our iridescent glow in the dark forest where you play different size of mini golf holes (giant, medium, miniature), a wishing well, a plink- hole and a Confession-hole (a full size confessional where you can confess your sins get absolution)",Thursday 18:00 - 03:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0216,L0212,Thursday,18:00,00:00,Flower Bower,EVAPORATION,Flower Bower Boutique,Deflower us! ...by accessorizing yourself with fabulous clip-on flowers and other faux floral creations at our 24-hour self-service boutique. Dewiness not guaranteed. Floral fashion consultants available spore-adically.,Thursday 18:00 - 00:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
,,Thursday,18:00,22:00,Welcome to Arcadia,YES...AND?,Screaming Banshee Tavern,Come make merry with some faries and sample our magical liquides! Alcoholic and non-alcoholic drinks available,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
,,Thursday,18:00,20:00,Welcome to Arcadia,YES...AND?,Brews and Brawls,Grab a drink and watch our fighters clash! Cheer on your favourites while you lounge.,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
O0385,L0373,Thursday,18:00,19:00,NERRRRRDS,YES...AND?,NERD INK,"hey nerdlinger! opening of the NERD INK temporary tattoo station- nothign compliments a pocket protector better than a hastily applied lower back tattoo. available all weekend, but come early for best choice of designs and help with application",Thursday 18:00 - 19:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0414,L0401,Thursday,18:00,21:00,Pogs 4 Applause,DOACRACY,Pogs 4 Applause Lounge Opening Party,"We’re flipping the sign to “Open” at 6:00 PM. Come help us kick off the weekend with 90s video games and movies on the big screen. It’s the perfect time to scope out the lounge, find the board games, and get your first rounds of the weekend in.",Thursday 18:00 - 21:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0258,L0249,Thursday,18:30,01:30,Ironic Spin,SANDSTORM,Ironic Spin’s Big Kick Off Extravanganza,You know you want to start it off right at the 25-foot Boombox. It IS Right. It Does.,Thursday 18:30 - 01:30,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
O0011,L0010,Thursday,19:00,20:00,Babylon,SIDEQUEST,Goddess Dancing,"Step into Babylon—where sensual movement meets slow-burning desire. Ground into your body, awaken your hips and chest, and melt into hypnotic rhythms. Come to be seen, felt, and explored—no experience needed, only willingness (19+)",Thursday 19:00 - 20:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
O0022,L0020,Thursday,19:00,21:00,Badgers Hideout,KINDLE,Badger AssASSins,ClASSic AssASSin game...Badger Style! All are welcome! Please arrive promptly at 7pm to get your targets and sign up as all entrants will need to be there at the start to register!,Thursday 19:00 - 21:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0360,L0348,Thursday,19:00,21:00,The Playground,ASHLAND,"Fusion Partner Dance, Meet & Jam","Come solo or with friends. Learn Fusion basics, meet new people, and discover how different dance styles connect on the floor.",Thursday 19:00 - 21:00,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
O0056,L0054,Thursday,19:00,03:00,Burning Glam!,PRECIPITATION,Burning Glam! Fashion Show!,"The event of the season, come strut your stuff or spectate to celebrate the opening of Burning Glam!",Thursday 19:00 - 03:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
O0252,L0245,Thursday,19:00,20:00,The Den,DOACRACY,Sapphic Tea Party,"The second annual Sapphic mixer! Bring your crafts in progress and get ready to enjoy some iced tea, chill pud vibes, and flirty sapphic cuties!",Thursday 19:00 - 20:00,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
O0424,L0411,Thursday,19:00,20:00,Recovery House,EVAPORATION,Recovery Meetings at Recovery House,12 Step All Recovery Meeting,Thursday 19:00 - 20:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0442,L0428,Thursday,19:00,21:00,Ripple Effect,DOACRACY,Zine Making,"How does the rave sustain you? Collage a square of our collective zine ‘quilt’ exploring the myriad ways raving touches our lives! We will display the installation, then turn it into a zine and porta- potty decorations for future gatherings.",Thursday 19:00 - 21:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
O0452,L0437,Thursday,19:00,23:20,Salon Saloon,SMOLDER,Salon Saloon’s Newbie Night,"Step on up to Salon Saloon’s Opening Night! It’s newbie night! We promise no hair will be left behind during our Junior Stylist training. Get fresh, stay fresh.",Thursday 19:00 - 23:20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O0587,L0569,Thursday,19:00,20:00,The Empress,DOACRACY,Queen and Elton John background music,"Cary, our paino player, will play the best of Queen and Elton John.",Thursday 19:00 - 20:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
O0227,L0222,Thursday,20:00,21:00,Garden Cósmico,YES...AND?,Garden Story Time,"Join us for tales of The Hungry Caterpillar, Bradley Magog and more! Puppets included.",Thursday 20:00 - 21:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
O0322,L0312,Thursday,20:00,22:00,Mahjong Camp,PRECIPITATION,Sunset Grooves,Follow the glowing 發 tile into sunset grooves,Thursday 20:00 - 22:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
O0408,L0395,Thursday,20:00,23:00,Phantasmagoria,ASHLAND,Phantasmagoria Pre-Opening,Oscillation Location!,Thursday 20:00 - 23:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
,,Thursday,20:00,0:00,Welcome to Arcadia,YES...AND?,Dungeons,A kinky play space for all your adventuring needs. DM on duty. Lots of equipment available. Openning time flexible on request.,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0449,L0434,Thursday,20:00,20:00,Roving Coat Check Inc.,ROAMING,Roving Coat Check,"Roving Coat Check, the most convenient, most mobile coatcheck to service Otherworld, circa 2023. You might lose use, but we won’t lose your coat!™",Thursday 20:00 - 20:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0472,L0457,Thursday,20:00,23:00,Shaman Dome,YES...AND?,Hippy Trap,"A glowing little hippy trap of light, sound, and color. Come get caught, mellow out, and stay awhile. Open ~10pm until the power runs out.",Thursday 20:00 - 23:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0592,L0574,Thursday,20:00,20:45,The Empress,DOACRACY,Drunk History Presents,The Legend of Poncho Villa: Join Joe for some margaritas and his drunk rendition of the world’s most interesting Mexican revolutionary. (Mar garitas available until they’re gone),Thursday 20:00 - 20:45,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
O0407,L0394,Thursday,20:30,05:00,Glow Dome,AERIAL,Glow Dome - Paint With Light,Come here at night to paint with light!,Thursday 20:30 - 05:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0366,L0354,Thursday,21:00,22:00,Nauti Norse,SIDEQUEST,Sapphic Night (19+),Join us in our Tantric Tavern for a SOP Sapphic- themed night. Space is only for people identifying as women.,Thursday 21:00 - 22:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
O0077,L0075,Thursday,21:00,21:00,Camp UMAMI,SIDEQUEST,The Celestial Ramen Bowl Plounge,"Stop by and embody a human noodle in our UMAMI-themed plounge. Commune with the Celestial Ramen Bowl to reveal your ramen fortune. Sundown to sunup all weekend. No ramen, unless you’re lucky.",Thursday 21:00 - 21:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O0398,L0386,Thursday,21:00,21:30,OTHER Red Tent,COLLECTION,Opening Ceremony,An all-gender ceremony to thank the masculine and welcome in the feminine.,Thursday 21:00 - 21:30,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0473,L0458,Thursday,21:00,22:00,Shaman Dome,YES...AND?,Star Citizen Flight Experience with Chaos Gremlins,Star Citizen flight demonstrations (live in-game) with the Chaos Gremlins. Watch fast fighters move through space and planets across the ‘verse. ~8–9pm Thurs/Fri/Sat.,Thursday 21:00 - 22:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0635,L0619,Thursday,21:00,00:00,Really Lost Penguins Chill Cave,CONDENSATION,Really Lost Hot Chocolate,"Help! We’re lost! But at least we aren’t cold and lost…because we have hot chocolate! If you can find us, we’ll share it with you! Follow your penguiny senses (or your nose) to our little travelling hot chocolate cart and we’ll warm you up too!",Thursday 21:00 - 00:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O0136,L0134,Thursday,21:30,04:30,Cosmic Flow Camp,DOACRACY,Cosmic Galaxy,"Check out Cosmic after dark for a highly interactive, out of this world experience!",Thursday 21:30 - 04:30,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0106,L0104,Thursday,22:00,01:00,Campocalypse, SPARK,Queer SciFi Book Club & Stargazing. Solarpunk Film Nightcap,Re-vision shared futures with the camp that’s coaxing society back from the brink. Bring your favourite book or recommendation to swap. Stick around past bedtime to share night sky stories. Movie after 11.,Thursday 22:00 - 01:00,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
O0369,L0357,Thursday,22:00,01:00,Nauti Norse,SIDEQUEST,SOP Valhalla (19+),Join us in our Tantric Tavern to explore your nauti side! Consent monitors on shift.,Thursday 22:00 - 01:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
O0399,L0387,Thursday,22:00,23:00,OTHER Red Tent,COLLECTION,Yoni Gazing,"Together we explore the wonders of the yoni by embracing and embodying the playful curiosity of the maiden. *Please note: This event is open to everyone with a vulva, regardless of gender. This gathering is not open to people with a penis. 19+",Thursday 22:00 - 23:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
O0400,L0388,Thursday,23:00,02:00,OTHER Red Tent,COLLECTION,Sacred Feminine Lounge ,"Space to connect with the sacred feminine- in-all-creation. *Please note: The lounge is open to all women (cis & trans), non-binary & gender fluid folks. Men (cis & trans) are welcome on Sunday.",Thursday 23:00 - 02:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0531,L0515,Thursday,23:30,01:00,Taconoods,TINKER,Taconoods FAFO Midnight Snack Attack,Submit to the universe and let our flavours takeover! Play stupid games to determine your snack fate!,Thursday 23:30 - 01:00,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
O0259,L0250,Thursday,23:59,00:59,Ironic Spin,SANDSTORM,Between 2 FERALS Late Night Talk Show,"Will you get a hiss or a purr? Your public access fever dream for alley cats, art goblins, camp legends, and the terminally curious.",Thursday 23:59 - 00:59,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,Friday,,,,,,,,,,,,,,
O0074,L0072,Friday,00:00,00:00,Camp Squirrel, SPARK,Camp Squirrel,Camp Squirrel: Camp Squirrel: Assume the position at our hole and let us put our balls in your mouth! We may even call you a good girl. Random ball offerings Fri-Sun.,Friday 00:00 - 00:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O0078,L0076,Friday,00:00,02:00,Camp UMAMI,SIDEQUEST,"Dim Sum, Drinks and DJs!","Dim Sum, Drinks and DJs!: Step into Cathartic Cantina for our soul- feeding camp experience with small bites for your belly and big releases for your soul. All served with spicy tunes, cool drinks and interactive art.",Friday 00:00 - 02:00,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
O0122,L0120,Friday,00:00,02:00,Cathartic Cantina, SPARK,Dim Sum Party with Drinks and DJs,"Dim Sum Party with Drinks and DJs: Step into the Cathartic Cantina for our soul-feeding experience with small bites and big release of the soul. Served with spicy tunes, cool drinks and interactive art.",Friday 00:00 - 02:00,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
O0199,L0195,Friday,00:00,01:00,Fantasia,DOACRACY,Flying fairies,Flying fairies: Intro to Ariel silks/ hoop. Everyone welcome!,Friday 00:00 - 01:00,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
O0234,L0229,Friday,00:00,02:00,Graveyard Camp,YES...AND?,Warm Yr Bones,Warm Yr Bones: Bone broth in the Graveyard,Friday 00:00 - 02:00,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
O0260,L0251,Friday,00:00,01:00,Ironic Spin,SANDSTORM,Midnight Soup @ Ironic Spin,Midnight Soup @ Ironic Spin: The Ironic Spinletts will be serving up some steaming hot soup to go along with some steaming hot trax.,Friday 00:00 - 01:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
O0475,L0460,Friday,00:00,00:00,Six Degrees of Bacon,COLLECTION,SUBMISSIONS WANTED,"SUBMISSIONS WANTED: PIG-TURE Exhibition!: Tired of doom scrolling? Escape the algorithm & add to our PIG-TURE exhibition! Snap a pic during the festival of the theme MOIST, print it at our camp & pin it on the board. Come back to see who has liked or commented! What a dopamine rush!",Friday 00:00 - 00:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
O0545,L0528,Friday,00:00,04:00,The Cottage,DOACRACY,Smile and Wubz,"Smile and Wubz: A seismic 100K‑watt love letter to Island Wubz, penned by an epic 4-DJ lineup and delivered on the biggest sound system on site. We drop you in below 28 Hz, you do your best bass face. A night of bass, community, and keeping the wubby spark alive.",Friday 00:00 - 04:00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
